# t,x,ts
0.000000000000000000e+00,1.999999955296516418e-02,4.553358852863311768e-01
1.001251582056283951e-02,1.999999955296516418e-02,5.021615028381347656e-01
2.002503164112567902e-02,1.999999955296516418e-02,5.464379787445068359e-01
3.003754839301109314e-02,1.999999955296516418e-02,5.882607698440551758e-01
4.005006328225135803e-02,1.999999955296516418e-02,6.277396678924560547e-01
5.006257817149162292e-02,1.999999955296516418e-02,6.649911403656005859e-01
6.007509678602218628e-02,1.999999955296516418e-02,7.001364231109619141e-01
7.008761167526245117e-02,1.999999955296516418e-02,7.332998514175415039e-01
8.010012656450271606e-02,1.999999955296516418e-02,7.646015882492065430e-01
9.011264145374298096e-02,1.999999955296516418e-02,7.941623926162719727e-01
1.001251563429832458e-01,1.999999955296516418e-02,8.220978975296020508e-01
1.101376712322235107e-01,1.999999955296516418e-02,8.485151529312133789e-01
1.201501935720443726e-01,1.999999955296516418e-02,8.735173940658569336e-01
1.301627010107040405e-01,1.999999955296516418e-02,8.971990346908569336e-01
1.401752233505249023e-01,1.999999955296516418e-02,9.196487665176391602e-01
1.501877307891845703e-01,1.999999955296516418e-02,9.409444332122802734e-01
1.602002531290054321e-01,1.999999955296516418e-02,9.611620903015136719e-01
1.702127754688262939e-01,1.999999955296516418e-02,9.803639650344848633e-01
1.802252829074859619e-01,1.999999955296516418e-02,9.986082315444946289e-01
1.902378052473068237e-01,1.999999955296516418e-02,1.015944600105285645e+00
2.002503126859664917e-01,1.999999955296516418e-02,1.032419085502624512e+00
2.102628350257873535e-01,1.999999955296516418e-02,1.048066139221191406e+00
2.202753424644470215e-01,1.999999955296516418e-02,1.062918424606323242e+00
2.302878648042678833e-01,1.999999955296516418e-02,1.077003717422485352e+00
2.403003871440887451e-01,1.999999955296516418e-02,1.090339779853820801e+00
2.503128945827484131e-01,1.999999955296516418e-02,1.102943897247314453e+00
2.603254318237304688e-01,1.999999955296516418e-02,1.114826560020446777e+00
2.703379392623901367e-01,1.999999955296516418e-02,1.125999927520751953e+00
2.803504467010498047e-01,1.999999955296516418e-02,1.136466741561889648e+00
2.903629541397094727e-01,1.999999955296516418e-02,1.146228432655334473e+00
3.003754913806915283e-01,1.999999955296516418e-02,1.155289292335510254e+00
3.103879988193511963e-01,1.999999955296516418e-02,1.163643836975097656e+00
3.204005062580108643e-01,1.999999955296516418e-02,1.171293497085571289e+00
3.304130136966705322e-01,1.999999955296516418e-02,1.178233265876770020e+00
